Brand,Model,Efficiency,PlugType,BodyStyle,Range
Tesla,Model 3 Long Range Dual Motor,161,Type 2 CCS,Sedan,450
Volkswagen,ID.3 Pure,167,Type 2 CCS,Hatchback,270
Polestar,2,181,Type 2 CCS,Liftback,400
BMW,iX3,206,Type 2 CCS,SUV,360
Honda,e,168,Type 2 CCS,Hatchback,170
Lucid,Air,180,Type 2 CCS,Sedan,610
Volkswagen,e-Golf,168,Type 2 CCS,Hatchback,190
Peugeot,e-208,164,Type 2 CCS,Hatchback,275
Tesla,Model 3 Standard Range Plus,153,Type 2 CCS,Sedan,310
Audi,Q4 e-tron,193,Type 2 CCS,SUV,400
Mercedes,EQC 400 4MATIC,216,Type 2 CCS,SUV,370
Nissan,Leaf,164,Type 2 CHAdeMO,Hatchback,220
Hyundai,Kona Electric 64 kWh,160,Type 2 CCS,SUV,400
BMW,i4,178,Type 2 CCS,Sedan,450
Hyundai,IONIQ Electric,153,Type 2 CCS,Liftback,250
Volkswagen,ID.3 Pro S,175,Type 2 CCS,Hatchback,440
Porsche,Taycan Turbo S,223,Type 2 CCS,Sedan,375
Volkswagen,e-Up!,166,Type 2 CCS,Hatchback,195
MG,ZS EV,193,Type 2 CCS,SUV,220
Mini,Cooper SE,156,Type 2 CCS,Hatchback,185
Opel,Corsa-e,164,Type 2 CCS,Hatchback,275
Tesla,Model Y Long Range Dual Motor,171,Type 2 CCS,SUV,425
Skoda,Enyaq iV 50,179,Type 2 CCS,SUV,290
Audi,e-tron GT,197,Type 2 CCS,Sedan,425
Tesla,Model 3 Long Range Performance,167,Type 2 CCS,Sedan,435
Volkswagen,ID.4,183,Type 2 CCS,SUV,420
Volkswagen,ID.3 Pro,166,Type 2 CCS,Hatchback,350
Volvo,XC40 P8 AWD Recharge,200,Type 2 CCS,SUV,375
BMW,i3 120 Ah,161,Type 2 CCS,Hatchback,235
Peugeot,e-2008 SUV,180,Type 2 CCS,SUV,250
Audi,e-tron 50 quattro,231,Type 2 CCS,SUV,280
Kia,e-Niro 64 kWh,173,Type 2 CCS,SUV,370
Renault,Zoe ZE50 R110,165,Type 2 CCS,Hatchback,315
